Authors,Title,Publication,Year,Link,Type,Award,Show,VideoLink
"Tamburro, Carla; Neate, Timothy; Roper, Abi; Wilson, Stephanie; ",Accessible creativity with a comic spin,Proceedings of the International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS),2020,https://openaccess.city.ac.uk/id/eprint/24771/1/ComicSpin_no_cr.pdf,Conference,2; Best Paper Nominee,,https://www.youtube.com/watch?v=WO072sNARvo&t=266s
"Neate, Timothy; Roper, Abi; Wilson, Stephanie; ",Painting a Picture of Accessible Digital Art,Proceedings of the International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS),2020,https://openaccess.city.ac.uk/id/eprint/24769/1/Inker-assets-no-copyright.pdf,Poster,,,https://www.youtube.com/watch?v=UrYhmO3vKu8
"Neate, Timothy; Kladouchou, Vasiliki; Wilson, Stephanie; Shams, Shehzmani; ",``Just Not Together'': The Experience of Videoconferencing for People with Aphasia during the Covid-19 Pandemic,Proceedings of the ACM Conference on Human Factors in Computing Systems (CHI)+C21,2022,https://openaccess.city.ac.uk/id/eprint/27546/1/chi_no_copyright.pdf,Conference,,,https://www.youtube.com/watch?v=YcPszStNixs
"Tamburro, Carla; Neate, Timothy; Roper, Abi; Wilson, Stephanie; ",Comic Spin: A Comic Creation Tool Enabling Self-expression for People with Aphasia,ACM Transactions on Accessible Computing (TACCESS),2022,https://openaccess.city.ac.uk/id/eprint/27827/1/Comic_Spin_TACCESS.pdf,Journal,2; Best Paper Honourable Mention,,
"Curtis, Humphrey; Neate, Timothy; Vazquez Gonzalez, Carlota; ",State of the art in AAC: A systematic review and taxonomy,Proceedings of the  International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS),2022,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/177534680/state_of_art_aac_assets_prepreint.pdf,Conference,,,
"Knoche, Hendrik; Abdul-Rahman, Alfie; Clark, Leigh; Curcin, Vasa; Huo, Zhiqiang; Iwaya, Leonardo Horn; Lemon, Oliver; Mikulik, Robert; Neate, Timothy; Roper, Abi; ",Identifying Challenges and Opportunities for Intelligent Data-Driven Health Interfaces to Support Ongoing Care,IDDHI Workshop at Proceedings of the CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544549.3573798,Workshop,,No,
"Roper, Abi; Barnard, Rachel; Cruice, Madeline; Marshall, Jane; Mulholland, Amy; Neate, Timothy; Wilson, Stephanie; ",``Difficult but Good'': enjoying accessible digital creativity,Aphasiology,2024,https://openaccess.city.ac.uk/id/eprint/29638/8/Difficult%20but%20Good%20enjoying%20accessible%20digital%20creativity.pdf,Journal,,,
"Curtis, Humphrey; You, Zihao; Deary, William; Tudoreanu, Miruna-Ioana; Neate, Timothy; ",Envisioning the (in) visibility of discreet and wearable AAC devices,Proceedings of the ACM Conference on Human Factors in Computing Systems (CHI),2023,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/197593195/chi_2023_no_copyright.pdf,Conference,1; Best Paper Award,,https://www.youtube.com/watch?v=ywF30gnf1vI&t=2s
"Nevsky, Alexandre; Vatavu, Radu-Daniel; Neate, Timothy; Simperl, Elena; ",Accessibility Research in Digital Audiovisual Media: What Has Been Achieved and What Should Be Done Next?,ACM International Conference on Interactive Media Experiences (IMX),2023,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/208202830/Accessibility_Research_in_Digital_Audiovisual_Media_What_Has_Been_Achieved_and_What_Should_Be_Done_Next.pdf,Conference,2; Best Paper Nominee,,
"Huo, Zhiqiang; Neate, Timothy; Marshall, Iain; Chapman, Martin; Curcin, Vasa; ","Designing user-centred patient portal for stoke patients: Challenges in accessibility, engagement, and interpretability",CHIÕ23 workshop on Intelligent Data-Driven Health Interfaces,2022,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/205416426/iddhi22_paper_5054.pdf,WorkshopPaper,,No,
